timestamp,protocolo,cenario,execucao,duracao_s,throughput_mbps,bytes_enviados,sucesso
2026-05-19T23:26:30.702492,TCP,B,3,36.63689,1.144831,5242880,True
2026-05-19T23:26:59.493893,TCP,B,4,21.643465,1.937908,5242880,True
2026-05-19T23:29:59.251936,TCP,A,1,0.520168,80.63362,5242880,True
2026-05-19T23:30:01.558858,TCP,A,2,0.517815,81.000001,5242880,True
2026-05-19T23:30:03.859972,TCP,A,3,0.520817,80.533192,5242880,True
2026-05-19T23:30:06.164406,TCP,A,4,0.522402,80.288771,5242880,True
2026-05-19T23:30:08.484812,TCP,A,5,0.522229,80.315475,5242880,True
2026-05-19T23:30:10.798946,TCP,A,6,0.51501,81.441227,5242880,True
2026-05-19T23:30:13.106829,TCP,A,7,0.509647,82.29821,5242880,True
2026-05-19T23:30:15.419309,TCP,A,8,0.5269,79.603353,5242880,True
2026-05-19T23:30:17.716728,TCP,A,9,0.501706,83.600784,5242880,True
2026-05-19T23:30:20.032996,TCP,A,10,0.521475,80.431565,5242880,True
2026-05-19T23:30:22.324241,TCP,A,11,0.481374,87.131885,5242880,True
2026-05-19T23:30:24.646560,TCP,A,12,0.535071,78.387845,5242880,True
2026-05-19T23:30:26.920230,TCP,A,13,0.481711,87.070993,5242880,True
2026-05-19T23:30:29.269698,TCP,A,14,0.538954,77.823017,5242880,True
2026-05-19T23:30:31.574343,TCP,A,15,0.514013,81.599225,5242880,True
2026-05-19T23:39:58.683384,TCP,B,1,27.854784,1.505775,5242880,True
2026-05-19T23:40:34.973043,TCP,B,2,31.626999,1.326178,5242880,True
2026-05-19T23:41:12.673852,TCP,B,3,34.93651,1.20055,5242880,True
2026-05-19T23:41:44.347104,TCP,B,4,26.076157,1.608482,5242880,True
2026-05-19T23:42:23.166673,TCP,B,5,36.457432,1.150466,5242880,True
2026-05-19T23:42:59.542441,TCP,B,6,33.520402,1.251269,5242880,True
2026-05-19T23:43:35.378500,TCP,B,7,32.836032,1.277348,5242880,True
2026-05-19T23:44:08.436468,TCP,B,8,29.988878,1.39862,5242880,True
2026-05-19T23:44:43.712392,TCP,B,9,31.382539,1.336509,5242880,True
2026-05-19T23:45:19.100615,TCP,B,10,31.890248,1.315231,5242880,True
2026-05-19T23:45:52.929438,TCP,B,11,31.040858,1.35122,5242880,True
2026-05-19T23:46:26.503569,TCP,B,12,29.943332,1.400747,5242880,True
2026-05-19T23:47:05.073996,TCP,B,13,36.03914,1.163819,5242880,True
2026-05-19T23:47:35.449287,TCP,B,14,26.395724,1.589009,5242880,True
2026-05-19T23:48:13.960866,TCP,B,15,35.267921,1.189269,5242880,True
2026-05-20T01:41:11.369707,TCP,C,1,90.688418,0.462496,5242880,True
2026-05-20T01:43:00.519125,TCP,C,2,92.090797,0.455453,5242880,True
2026-05-20T01:44:45.802117,TCP,C,3,99.73802,0.420532,5242880,True
2026-05-20T01:46:39.744883,TCP,C,4,109.966608,0.381416,5242880,True
2026-05-20T01:48:38.690055,TCP,C,5,115.605428,0.362812,5242880,True
2026-05-20T01:50:30.783389,TCP,C,6,103.027848,0.407104,5242880,True
2026-05-20T01:52:19.839829,TCP,C,7,103.043331,0.407043,5242880,True
2026-05-20T01:54:11.931568,TCP,C,8,104.47119,0.401479,5242880,True
2026-05-20T01:56:10.493391,TCP,C,9,114.646029,0.365848,5242880,True
2026-05-20T01:58:02.393262,TCP,C,10,106.087026,0.395364,5242880,True
2026-05-20T01:59:54.880397,TCP,C,11,109.305424,0.383723,5242880,True
2026-05-20T02:01:49.078718,TCP,C,12,98.051233,0.427767,5242880,True
2026-05-20T02:03:48.019254,TCP,C,13,114.427821,0.366546,5242880,True
2026-05-20T02:05:40.099896,TCP,C,14,107.999594,0.388363,5242880,True
2026-05-20T02:07:34.382141,TCP,C,15,109.130509,0.384338,5242880,True
